study_id,cohort_id,first_author,pub_year,journal,doi,pmid,paperpile_filename,title,country,region,study_design,single_or_multicenter,n_centers,enrollment_start_year,enrollment_end_year,era_category,follow_up_median_months,follow_up_min_months,follow_up_max_months,primary_for_cohort,cohort_overlap_status,overlap_with_study_ids,language,full_text_obtainable,author_contact_attempted,author_response_received,extractor_initials,verifier_initials,extraction_date,verification_date,extraction_notes
254,1096,Modi D,2021,Transplantation and Cellular Therapy,10.1016/j.jtct.2021.06.018,NR,Modi D et al. 2021 - Post-transplant Cyclophosphamide Versus Thymoglobulin in HLA-mismatched Unrelated Donor Transplant for Acute Myelogenous Leukemia and Myelodysplastic Syndrome.pdf,Post-transplant Cyclophosphamide Versus Thymoglobulin in HLA-Mismatched Unrelated Donor Transplant for Acute Myelogenous Leukemia and Myelodysplastic Syndrome,USA,NA,retrospective_cohort,single,1,2006,2019,mixed,NR,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Median follow-up reported in years: PTcy 1.13 yr, thymoglobulin 5.27 yr (surviving patients only). Not converted to single combined median. PSCA = propensity score-based covariate adjustment."
256,1097,Mohyuddin GR,2019,Hematology/Oncology and Stem Cell Therapy,10.1016/j.hemonc.2018.11.002,NR,Mohyuddin GR et al. 2019 - Epstein-Barr viremia and post-transplant lymp ... tical stem cell transplantation with post-transplant cyclophosphamide.pdf,Epstein-Barr viremia and post-transplant lymphoproliferative disorders in patients undergoing haploidentical stem cell transplantation with post-transplant cyclophosphamide,USA,NA,single_arm_descriptive_excluded,single,1,NR,NR,NR,NR,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Letter to Editor with full Methods/Results/Table 1 (NOT a conference abstract). Single-arm descriptive: all 63 patients received haplo-PTCy/Tac/MMF; no within-paper PTCy vs comparator contrast. Per spec rule for single-arm descriptive papers, study_design = 'single_arm_descriptive_excluded' and outcome extraction skipped. Notable findings retained in notes: EBV reactivation 28.5% (18/63, defined as >1000 copies/mL), 0/63 PTLD (proven or probable), aGVHD grade III-IV at D+100 = 4/63 (6.3%); among EBV+ 1/18 (5.5%) vs EBV- 3/45 (6.7%) per Table 1 (paper text states 1.8% vs 5.5% likely with denominator typo). 8/18 EBV+ patients required preemptive rituximab; 75% (6/8) achieved seronegativity. Enrollment dates not stated in paper. Recommended for PRISMA exclusion tracking."
257,1098,Moiseev I,2025,Bone Marrow Transplantation,10.1038/s41409-025-02678-z,NR,Moiseev I et al. 2025 - Post-transplantation cyclophosphamide and antithymocyte globulin in matched donor allogeneic stem cell transplantation - an analysis on behalf of the transplant complications working party of the EBMT.pdf,Post-transplantation cyclophosphamide and antithymocyte globulin in 8/10 HLA-mismatched unrelated donor transplantation: the analysis on behalf of the transplant complications working party of the EBMT,multinational,multinational,registry,registry,NR,2015,2021,mixed,NR,NR,NR,Y,partial_overlap,Penack_2024_10_10_MUD; Penack_2024_9_10_MMUD,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT TCWP 8/10 MMUD cohort. Median follow-up: ATG arm 3.8y (95%CI 3.1-4), PTCy arm 2.1y (95%CI 1.8-2.9); analyses censored at 2y to ensure comparable FU. ATG dosing data available for 198/318 patients: 96 Grafalon (most common dose 30 mg/kg), 102 Thymoglobuline (most common dose 5 mg/kg). Paper title states 'matched donor' but actual cohort is 8/10 MMUD per Methods and abstract. Comparison 2 (PTCy vs ATG). Center effect handled by frailty random effect."
258,1099,Moiseev IS,2017,Cellular Therapy and Transplantation (CTT),10.18620/ctt-1866-8836-2017-6-4-52-59,NR,Moiseev I.S. et al. 2017 - Single-agent post-transplantation cyclophosphamide for graft-versus-host disease prophylaxis in matched related bone marrow transplantation.pdf,Single-agent post-transplantation cyclophosphamide versus calcineurin-based graft-versus-host disease prophylaxis in matched related bone marrow transplantation,Russia,EU,retrospective_cohort,single,1,2006,2016,pre_2018,NR,5,111,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Median follow-up reported separately by arm: CNI 50 months (range 8-111), PTCy 24 months (range 5-41). Overall median not reported. Different cohort from Moiseev 2016 BBMT (cohort 1007: Pavlov MUD PBSC RCT)."
260,1100,Molina A,2026,Transplantation and Cellular Therapy,10.1016/j.jtct.2026.03.029,NR,Molina A et al. 2026 - Superior Chronic GVHD-Free Survival with Post-Transplant Cyclophosphamide in Myeloablative HLA-Matched Allogeneic Stem Cell Transplantation.pdf,Superior Chronic Graft-versus-Host Disease Free Survival with Post-Transplant Cyclophosphamide Relative to Tacrolimus/Methotrexate in Myeloablative HLA-Matched Allogeneic Hematopoietic Cell Transplantation,USA,NA,retrospective_cohort,single,1,2018,2025,post_2018,30,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Stanford single-center retrospective cohort. PTCy/TAC/MMF vs TAC/MTX in MAC HLA-matched HCT for AML/ALL. Follow-up differs by arm (PTCy 1.1 yr vs TAC/MTX 3.3 yr); overall median ~2.5 yr. Paper focuses on GVHD/survival/relapse outcomes; no infection, CMV, IFI, BSI, engraftment failure data reported."
261,1101,Montoro J,2021,European Journal of Haematology,10.1111/ejh.13529,NR,Montoro J et al. 2021 - Ex vivo T-cell depletion vs post-transplant cyclophosphamide as graft-versus-host disease prophylaxis for haploidentical transplantation.pdf,"Ex vivo T-cell depletion vs post-transplant cyclophosphamide, sirolimus, and mycophenolate mofetil as graft-vs-host disease prophylaxis for allogeneic hematopoietic stem cell transplantation",Spain,EU,retrospective_cohort,multi,3,2016,2019,mixed,16,3,42,Y,partial_overlap,cohort_1038_Chorao_partial_PTCy_arm_overlap,English,Y,N,NA,RL,PEND,2026-05-26,PEND,Filename in user prompt incorrectly labels paper as 'haploidentical transplantation'; actual paper explicitly EXCLUDES haploidentical recipients and compares TCD vs PTCy-Sir-MMF in MSD/MUD/MMUD setting. Comparison framed as PTCy arm vs ex vivo TCD comparator (not haplo).
262,1102,Montoro,2024,Blood Advances,10.1182/bloodadvances.2024013328,NR,Montoro et al. 2024 - PTCy vs CNI–based GVHD prophylaxis in HLA-matched transplants for Hodgkin lymphoma - a study of the LWP of the EBMT.pdf,PTCy vs CNI-based GVHD prophylaxis in HLA-matched transplants for Hodgkin lymphoma: a study of the LWP of the EBMT,multinational,multinational,registry,registry,NR,2015,2022,mixed,26,2,30,Y,partial_overlap,Montoro_2024_TCT_LWP_HL_ref14,English,Y,N,NA,RL,PEND,2026-05-26,PEND,EBMT LWP registry retrospective comparison; first study comparing PTCy vs CNI-based GVHD prophylaxis specifically in HL HLA-matched donor HSCT. No ATG/alemtuzumab in either arm (exclusion criterion).
263,1103,Moriguchi,2024,British Journal of Haematology,10.1111/bjh.19825,NR,Moriguchi M et al. 2024 - Comparison of HLA-haploidentical donors with post-transplantation cyclophosphamide and HLA-matched donors with peripheral blood stem cell transplantation.pdf,Comparison of HLA-haploidentical donors with post-transplant cyclophosphamide versus HLA-matched unrelated donors in peripheral blood stem cell transplantation for acute myeloid leukaemia,Japan,Asia,retrospective_cohort,registry,NR,2013,2021,mixed,NR,NR,NR,Y,partial_overlap,Atsuta 2022 BMT (ref 21); Fuji 2024 BJHaem (ref 29) JSTCT PTCy dose comparison,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Nationwide JSTCT/TRUMP registry retrospective. Median FU reported per arm: PTCy-haplo 23.9 mo (IQR 13.1-48.3), ATG-free MUD 32.4 mo (16.9-55.8), ATG-MUD 29.3 mo (12.4-48.2). Era spans pre-2018 and post-2018."
264,1104,Morsink,2024,Transplantation and Cellular Therapy,10.1016/j.jtct.2024.05.009,NR,Morsink LM et al. 2024 - Improved Outcome of Allogeneic Transplantation ... lantation Cyclophosphamide and Reduced Duration of Immune Suppression.pdf,Improved Outcome of Allogeneic Transplantation in Older Patients Treated for Myeloid Malignancies Using Post-Transplantation Cyclophosphamide and Reduced Duration of Immune Suppression,Netherlands,EU,single_arm_descriptive_excluded,single,1,2018,2022,post_2018,21.3,6.5,61.7,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-arm descriptive study (92 consecutive patients all receiving PTCy + tacro +/- MMF, no comparator arm); flagged single_arm_descriptive_excluded per protocol. Tracked for PRISMA. Skipped outcome extraction per spec. Note: novel feature is very short-duration IS (median 3.4 mo) - the paper's hypothesis - but design has no PTCy vs non-PTCy contrast. User prompt referenced HR-AML PTCy era; cohort contains 71% AML (55% ELN-adverse) but is myeloid malignancies cohort overall, not HR-AML specifically. Use IFI not IFD per instruction (not applicable here since outcomes skipped). One arm row retained to preserve baseline characteristics for descriptive PRISMA tracking."
268,1001,Mulroney CM,2021,British Journal of Haematology,10.1111/bjh.17563,NR,Mulroney CM et al. 2021 - Incidence and impact of community respiratory ... host disease prophylaxis and haploidentical stem cell transplantation.pdf,Incidence and impact of community respiratory viral infections in post-transplant cyclophosphamide-based graft-versus-host disease prophylaxis and haploidentical stem cell transplantation,USA,NA,registry,registry,NR,2012,2017,pre_2018,NR,NR,NR,partial,partial_overlap,other_CIBMTR_HaploCy_SibCy_SibCNI_papers,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"CIBMTR registry analysis of patients undergoing first HCT for AML/ALL/MDS 2012-2017; cohort 1001 (HaploCy N=757, SibCy N=403, SibCNI N=1605). Focus is community respiratory viral infections (CRVIs) by day +180. partial primary_for_cohort because this paper is the index publication for CRVI outcomes in cohort 1001, while other cohort 1001 papers are primary for other outcomes."
270,1105,Murthy HS,2022,Transplantation and Cellular Therapy,10.1016/j.jtct.2022.01.017,NR,Murthy H.S. et al. 2022 - Outcomes of Allogeneic Hematopoietic Cell Transplantation in Persons with HIV - A Study from the Center for International Blood and Marrow Transplant Research.pdf,Outcomes of Allogeneic Hematopoietic Cell Transplantation in T Cell Prolymphocytic Leukemia: A Contemporary Analysis from the Center for International Blood and Marrow Transplant Research,USA,multinational,registry,registry,87,2008,2018,mixed,49,3.32,116.84,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"FILE MISLABELED: paperpile filename says 'Persons with HIV' and prompt described HIV+ special population, but actual PDF content is the Murthy 2022 CIBMTR T-PLL paper (T cell prolymphocytic leukemia), N=266, TCT 28:187.e1. No HIV paper present in folder. Extraction based on actual PDF content (T-PLL). Paper compares conditioning intensity (RIC/NMA vs MAC) as primary exposure with multivariable GVHD prophylaxis effect (PTCy vs CNI-based). aGVHD reported only at D+180 (not D+100). No infection outcomes reported. Only adjusted ORs/HRs for PTCy vs CNI+MMF are reported - no arm-stratified crude incidences or denominators for GVHD by prophylaxis category."
271,1106,Mushtaq MU,2024,Leukemia & Lymphoma,10.1080/10428194.2023.2300708,NR,Mushtaq MU et al. 2024 - Outcomes with HLA-matched unrelated donor versus haploidentical hematopoietic cell transplantation.pdf,Outcomes with HLA-matched unrelated donor versus haploidentical hematopoietic cell transplantation,USA,NA,retrospective_cohort,single,1,2016,2021,post_2018,24.4,0.2,72.90000000000001,Y,partial_overlap,cohort_1097_KUMC_Mohyuddin,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-center KUMC retrospective study comparing MUD (n=276) vs haplo (n=176). Note: 35 MUD patients received PT-Cy; 241 MUD received Tac/MTX. Per spec, MUD arm is heterogeneous (predominantly Tac/MTX). Haplo arm uniform PTCy+Tac+MMF."
272,1107,Mussetti,2023,Transplantation and Cellular Therapy,10.1016/j.jtct.2022.11.028,NR,Mussetti et al. 2022 - Haploidentical versus matched unrelated donor transplants using post-transplant cyclophosphamide for lymphomas.pdf,Haploidentical Versus Matched Unrelated Donor Transplants Using Post-Transplantation Cyclophosphamide for Lymphomas,multinational,multinational,registry,registry,380,2010,2019,mixed,33,0,123,Y,partial_overlap,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,Joint EBMT-LWP and CIBMTR registry; haplo-PTCy vs MUD-PTCy for lymphoma. Median follow-up reported separately: 33 mo (range 0-123) haplo arm; 21 mo (range 0-108) MUD arm. n_centers=380 (277 haplo + 103 MUD; may include overlap). Multinational - CIBMTR (US) 34% + EBMT (Europe) 66%.
273,1108,Nagayama T,2025,Blood Advances,10.1182/bloodadvances.2024014938,NR,Nagayama T et al. 2025 - Impact of haplo-donor age on transplant outcomes - a comparative analysis of haploidentical vs cord blood transplantation.pdf,Impact of haplo-donor age on transplant outcomes: a comparative analysis of haploidentical vs cord blood transplantation,Japan,Asia,registry,registry,NR,2016,2021,post_2018,14.5,0,78.90000000000001,Y,partial_overlap,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Japanese registry (JSTCT/JDCHCT TRUMP) study comparing PTCY-haplo (PBSC) with donor age stratification (younger <40 vs older >=40 yrs) vs single-unit CBT in patients aged 16-70 with AML/ALL/MDS/CML. Patients stratified by age <50 vs >=50 yrs. Median follow-up 443 days (range 0-2397). N=5116 actually reported in Table 1 (text says 5161 in abstract); using Table 1 totals. 6 functional arms (3 donor types x 2 patient age cohorts). ATG/alemtuzumab excluded by design. Median donor ages: younger-haplo 30 yrs (older pt cohort), 25 yrs (younger pt cohort); older-haplo 48 yrs (older pt cohort), 47 yrs (younger pt cohort)."
276,1024,Nagler A,2021,Journal of Hematology & Oncology,10.1186/s13045-021-01065-7,NR,Nagler A et al. 2021 - Outcome of haploidentical versus matched sibling donors in hematopoietic stem cell transplantation for adult patients with acute lymphoblastic leukemia.pdf,Outcome of haploidentical versus matched sibling donors in hematopoietic stem cell transplantation for adult patients with acute lymphoblastic leukemia: a study from the Acute Leukemia Working Party of the European Society for Blood and Marrow Transplantation,multinational,multinational,registry,registry,NR,2012,2018,mixed,25,NR,NR,partial,partial_overlap,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT ALWP retrospective registry analysis of adult ALL pts in CR1/CR2 receiving first alloSCT from Haplo (T-replete) or MSD between 2012-2018. HaploSCT n=413 (PTCy 92.7%); MSD n=1891 (PTCy only 4.2%, mostly CsA+MTX). Propensity-score matched analysis also performed. Cohort overlaps with other EBMT ALWP ALL papers."
277,1024,Nagler A,2021,Haematologica,10.3324/haematol.2020.247296,NR,Nagler A et al. 2021 - Post-transplant cyclophosphamide versus anti-thymocyte globulin for graft-versus-host disease prevention in haploidentical transplantation for adult acute lymphoblastic leukemia.pdf,Post-transplant cyclophosphamide versus anti-thymocyte globulin for graft-versus-host disease prevention in haploidentical transplantation for adult acute lymphoblastic leukemia,multinational,multinational,registry,registry,NR,2007,2017,mixed,24.4,12,40,partial,partial_overlap,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT ALWP registry analysis. Adults with ALL undergoing first haploidentical HCT 2007-2017. Comparison 2: PTCy vs ATG haplo ALL. N=434 (PTCy 336, ATG 98). 37 patients excluded (received both ATG and PTCy)."
278,1024,Nagler A,2023,Bone Marrow Transplantation,10.1038/s41409-023-01940-6,NR,Nagler A et al. 2023 - Allogeneic stem cell transplantation for patients ... from unrelated donors with post-transplant cyclophosphamide (PT[...].pdf,Allogeneic stem cell transplantation for patients with acute myeloid leukemia (AML) in second complete remission (CR2) transplanted from unrelated donors with post-transplant cyclophosphamide (PTCy). A study on behalf of the Acute Leukemia Working Party of the European Society for Blood and Marrow Transplantation,multinational,multinational,registry,registry,NR,2010,2019,mixed,19.2,NR,NR,partial,partial_overlap,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT ALWP registry study. AML in CR2 transplanted from 9-10/10 HLA-matched UD with PTCy GVHD prophylaxis. Year-of-transplant analysis shows era trend: better GRFS (HR=0.87, p=0.009) and lower aGVHD II-IV (HR=0.84, p=0.027) with later transplant year. Single arm (PTCy URD). Note: filename in prompt referenced 'improved outcome over time' but the actual matching Paperpile file is this CR2 UD PTCy paper with era-trend findings."
279,1024,Nagler A,2023,Journal of Hematology & Oncology,10.1186/s13045-023-01450-4,NR,Nagler A et al. 2023 - Non-T-depleted haploidentical transplantation with post-transplant cyclophosphamide in patients with de novo AML in first complete remission.pdf,Non-T-depleted haploidentical transplantation with post-transplant cyclophosphamide in patients with secondary versus de novo AML in first complete remission: a study from the ALWP/EBMT,multinational,multinational,registry,registry,NR,2010,2021,mixed,25.9,NR,NR,partial,partial_overlap,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT ALWP registry study comparing haploSCT+PTCy outcomes in 1711 AML CR1 patients (1480 de novo vs 231 sAML), transplanted 2010-2021. Both arms received non-T-depleted haplo with PTCy as part of GVHD prophylaxis. Matched-pair (2:1) analysis matched 211 sAML to 410 de novo AML. Outcomes reported in entire-cohort table (Table 3) and matched-pair table (Table 6). No infection (BSI, CMV, IFI) outcomes reported. aGVHD reported at D+180 (not D+100) per paper text - extracted to D+100 slot with note since this is the timepoint used by the paper for acute GVHD."
280,1024,Nagler A,2024,American Journal of Hematology,10.1002/ajh.27383,NR,Nagler A et al. 2024 - Comparable relapse incidence after unrelated allogeneic stem cell transplantation with post-transplant cyclophosphamide versus conventional anti-graft versus host disease prophylaxis.pdf,Comparable relapse incidence after unrelated allogeneic stem cell transplantation with post-transplant cyclophosphamide versus conventional anti-graft versus host disease prophylaxis in patients with acute myeloid leukemia: A study on behalf of the Acute Leukemia Working Party of the European Society for Blood and Marrow Transplantation,multinational,multinational,registry,registry,NR,2014,2021,mixed,22.8,NR,NR,partial,partial_overlap,"EBMT_ALWP cohort 1024 - partial overlap with other EBMT ALWP publications (Ruggeri 2018, Battipaglia 2019, Lorentino 2021, Brissot 2020, Sanz 2020, Battipaglia 2022)",English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT ALWP registry analysis. Adults with de novo AML in CR1 undergoing first allo-HSCT from 9-10/10 HLA-matched URD, PBSC only, 2014-2021. Excludes sibling, haplo, UCB, prior HSCT, >CR1, BM grafts, T-cell depleted. PTCy n=707 vs No PTCy n=6342 (CNI-based +/- in vivo TCD/ATG). Primary endpoint: relapse incidence. Median FU 1.9 yr (PTCy) vs 2.9 yr (No PTCy); reported as ~22.8 months overall."
281,1024,Nagler A,2024,Bone Marrow Transplantation,10.1038/s41409-024-02284-5,NR,"Nagler A et al. 2024 - Post-transplant cyclophosphamide, calcineurin inhibitor, and mycophenolate mofetil versus calcineurin inhibitor, and methotrexate.pdf","Post-transplant cyclophosphamide, calcineurin inhibitor, and mycophenolate mofetil compared to anti-thymocyte globulin, calcineurin inhibitor, and methotrexate combinations as graft-versus-host disease prophylaxis post allogeneic stem cell transplantation from sibling and unrelated donors in patients with acute myeloid leukemia: a study on behalf of the Acute Leukemia Working Party of the European Society for Blood and Marrow Transplantation",multinational,multinational,registry,registry,NR,2010,2020,mixed,NR,NR,NR,partial,partial_overlap,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT ALWP registry study (cohort 1024). AML CR1 only, MSD/MUD/MMUD (9/10), PBSC only, 2010-2020. PTCy/CNI/MMF (n=402) vs ATG/CNI/MTX (n=5648). Median follow-up 23.4 mo PTCy arm vs 41.8 mo ATG arm. Outcomes censored at 2yr. No infection outcomes (BSI/CMV/IFI) reported in this paper - only GVHD, NRM, RI, LFS, OS, GRFS, and cause of death. Comparison 1 clean (PTCy+CNI+MMF vs CNI+MTX, here CNI+MTX+ATG)."
282,1024,Nagler A,2024,Bone Marrow Transplantation,10.1038/s41409-024-02400-5,NR,Nagler A et al. 2024 - Young ( 35 years) haploidentical versus old (≥35 years) matched sibling donor transplantation with post-transplant cyclophosphamide.pdf,Young (<35 years) haploidentical versus old (≥35 years) mismatched unrelated donors and vice versa for allogeneic stem cell transplantation with post-transplant cyclophosphamide in patients with acute myeloid leukemia in first remission: a study on behalf of the Acute Leukemia Working Party of the European Society for Blood and Marrow Transplantation,multinational,multinational,registry,registry,NR,2010,2022,mixed,27.1/22.5/31.8/19.8 (per arm: yHaplo/oMMUD/oHaplo/yMMUD),NR,NR,partial,partial_overlap,other_EBMT_ALWP_papers,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT ALWP registry study comparing donor age (<35 vs >=35) across alternative donors (Haplo vs MMUD 8/10-9/10) in adults with AML in CR1 receiving PTCy GVHD prophylaxis. ATG and ex-vivo TCD were excluded. Four arms: yHaplo (n=1065), oMMUD (n=147), oHaplo (n=1315), yMMUD (n=271). Two formal comparisons reported: yHaplo vs oMMUD; oHaplo vs yMMUD. Title in PDF metadata says 'matched sibling' but the actual paper is haploidentical vs MMUD by donor age."
287,1024,Nagler A,2022,Transplantation and Cellular Therapy,10.1016/j.jtct.2021.11.013,NR,Nagler et al. 2021 - Graft-Versus-Host Disease Prophylaxis with Post-Transplantation Cyclophosphamide versus Cyclosporine A and Methotrexate in Matched Sibling Donor Transplantation.pdf,Graft-versus-Host Disease Prophylaxis with Post-Transplantation Cyclophosphamide versus Cyclosporine A and Methotrexate in Matched Sibling Donor Transplantation,multinational,multinational,registry,registry,NR,2010,2019,mixed,16.04,NR,NR,partial,partial_overlap,other EBMT ALWP papers (cohort 1024),English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT ALWP registry MSD AML CR1 cohort 2010-2019, comparing heterogeneous PTCy-based prophylaxis (n=118, includes PTCy alone, PTCy+CSA, PTCy+CSA+MTX, PTCy+CSA+MMF, PTCy+Tac, PTCy+Sir, PTCy+Tac+MMF, PTCy+Sir+MMF, PTCy+other) vs CSA/MTX (n=1202). NOTE: Prompt referenced 'PTCy+CSA+MMF vs Tac+MTX' but the paper compares mixed PTCy regimens vs CSA/MTX (not Tac/MTX). Matched-pair analysis (110:110) reported separately. ATG/alemtuzumab and favorable cytogenetics excluded. Comparison 1 eligible (PTCy vs CNI-standard)."
289,1109,Nakaya Y,2024,Transplantation and Cellular Therapy,10.1016/j.jtct.2023.10.021,NR,Nakaya Y et al. 2024 - HLA-Haploidentical Peripheral Blood Stem Cell Transplantation with Post-Transplant Cyclophosphamide Versus HLA-Matched Unrelated Donor Transplantation for Myelodysplastic Syndrome.pdf,HLA-Haploidentical Peripheral Blood Stem Cell Transplantation with Post-Transplantation Cyclophosphamide versus HLA-Matched Unrelated Donor Transplantation for Myelodysplastic Syndrome,Japan,Asia,retrospective_cohort,registry,NR,2014,2020,mixed,27.6,NR,NR,Y,partial_overlap,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"JSTCT/JDCHCT TRUMP2 nationwide Japanese registry MDS cohort 2014-2020. Three arms: haplo-PBSCT+PTCy (n=136), MUD-BMT (n=465), MUD-PBSCT (n=96). All haplo-PBSCT received PTCy without in vivo TCD; 19/465 (4.1%) of MUD-BMT and 31/96 (32.3%) of MUD-PBSCT received ATG. Median observation 841 days for survivors (haplo 399, MUD-BMT 1118, MUD-PBSCT 786) - overall median ~27.6 months."
290,1070,Jo T,2024,British Journal of Haematology,10.1111/bjh.19372,NR,Jo T et al. 2024 - First complete remission favours haploidentical haematopoietic stem cell transplantation with post-transplant cyclophosphamide over cord blood transplantation in acute lymphoblastic leukaemia.pdf,First complete remission favours haploidentical haematopoietic stem cell transplantation with post-transplant cyclophosphamide over cord blood transplantation in acute lymphoblastic leukaemia,Japan,Asia,registry,registry,NR,2013,2021,mixed,NR,NR,NR,Y,partial_overlap,289,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"JSTCT TRUMP nationwide Japanese registry, adult ALL (age >=16) only. PTCy-haplo (n=330) vs single-unit UCB (n=1669), 2013-2021. Short report format. Many outcomes reported only in supplementary figures (S1-S10) not visible in main text. ALL-specific cohort, distinct from heterogeneous-disease JSTCT cohorts (Sugita 2022, Wada 2022). Cohort 1070 already exists in cohort_overlap_map. Note: prompt referenced 'Nakaya Y 2024 ... ALL' but no such file exists; Jo T 2024 ALL is the matching JSTCT ALL paper for cohort 1070."
291,1110,Nath K,2024,Transplantation and Cellular Therapy,10.1016/j.jtct.2023.09.022,NR,Nath K et al. 2024 - Reduced-Intensity Compared to Nonmyeloablative Cond ... ymphoma Undergoing Allogeneic Hematopoietic Stem Cell Transplantation.pdf,Reduced-Intensity Compared to Nonmyeloablative Conditioning in Patients with Non-Hodgkin Lymphoma Undergoing Allogeneic Hematopoietic Stem Cell Transplantation,USA,NA,single_arm_descriptive_excluded,single,1,2008,2019,mixed,64,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Block 6 retry — assigned to Comparison 3 (within-PTCy RIC vs NMA) with IFI focus. Paper does NOT meet Comparison 3 criteria: (1) PTCy was used in only 31/279 patients (11%; 22 NMA + 9 RIC) and the paper does NOT report outcomes stratified jointly by PTCy use AND conditioning intensity — only 'GVHD prophylaxis' (CNI-MTX vs PTCy) is included as a covariate in multivariable models for NRM (HR 1.96 for PTCy vs CNI-MTX, 95% CI 0.32-12.0, P=.48). (2) The paper does NOT report ANY infectious-disease outcomes — no IFI, no BSI, no CMV, no IRM, no NRM-by-cause data. Outcomes reported are OS, PFS, NRM (overall), aGVHD II-IV, aGVHD III-IV, cGVHD, neutrophil/platelet recovery. (3) Within-PTCy RIC vs NMA outcomes cannot be derived from the paper. Tagged single_arm_descriptive_excluded relative to the PTCy MA Comparison 3 scope (no PTCy-stratified comparator arm contrast reported); excluded from arm/outcome extraction but cohort/study rows retained for PRISMA tracking."
292,1111,Ngo-Huang,2023,JCO Oncology Practice,10.1200/OP.22.00520,NR,Ngo-Huang A. et al. 2023 - Enhanced Recovery Stem-Cell Transplantation... utcomes in Older Adults Undergoing Hematopoietic Stem-Cell Transplant.pdf,Enhanced Recovery Stem-Cell Transplantation: Multidisciplinary Efforts to Improve Outcomes in Older Adults Undergoing Hematopoietic Stem-Cell Transplant,USA,NA,retrospective_cohort,single,1,2015,2018,mixed,22,3,52,Y,partial_overlap,Possible partial overlap with MDACC PTCy-era cohorts 1090/1091 during 2015-2018 era for the PTCy-treated subset (~46/64 ER-SCT and ~36/140 controls received PTCy),English,Y,N,NA,RL,PEND,2026-05-26,PEND,"ASCO 'Focus on Quality / ReCAP' full-length article. Two arms compared: ER-SCT program cohort vs historical controls, both with heterogeneous GVHD prophylaxis (mix of Tac/MTX and PTCy-based regimens). NOT a clean PTCy vs comparator GVHD prophylaxis study; intervention is multidisciplinary supportive care (prehabilitation, geriatric assessment, nutrition, pharmacy, nursing). Arms set to comparison_X_eligible=N because neither arm is a pure PTCy_arm nor pure comparator_arm. Only NRM, OS, and relapse outcomes reported; no infection (BSI/CMV/IFI), GVHD, or engraftment outcomes in this publication."
293,1112,Nguyen A,2024,Transplant Infectious Disease,10.1111/tid.14375,NR,Nguyen A. et al. 2024 - Pre-engraftment bacteremia after allogeneic hema ... splantation without primary fluoroquinolone antibacterial prophylaxis.pdf,Pre-engraftment bacteremia after allogeneic hematopoietic cell transplantation without primary fluoroquinolone antibacterial prophylaxis,Switzerland,EU,retrospective_cohort,single,1,2015,2021,mixed,NR,NR,NR,Y,none,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-center retrospective cohort focused on pre-engraftment bacteremia in setting of NO routine fluoroquinolone prophylaxis. Mixed donor cohort (24% MRD, 47% MUD, 22% haplo, 6% MMUD); 27% received PTCy. Outcomes (BSI incidence 29%, pathogen profile, risk factors, mortality, aGVHD) are reported for FULL COHORT without stratification by PTCy use. Univariable/multivariable analyses identify PTCy use (post-HCT cyclophosphamide) as significant predictor of bacteremia in univariate (P<.001) but PTCy is collinear with haplo/MMUD donor type which is the variable retained in multivariable model. No PTCy vs non-PTCy outcome contrast reported. No IFI data reported (paper is BSI-focused). Treated as single-arm-style cohort with full-cohort BSI outcome (no within-paper PTCy comparator)."
