outcome_id,arm_id,study_id,cohort_id,outcome_category,outcome_subtype,timepoint,timepoint_days_numeric,is_primary_timepoint,is_primary_definition,denominator_n,event_count,proportion_reported_pct,cumulative_incidence_pct,ci_lower_pct,ci_upper_pct,ci_method,competing_risks_handled,hr_value,hr_ci_lower,hr_ci_upper,hr_comparator_arm_id,hr_adjusted,incidence_rate_value,incidence_rate_unit,person_time_total,person_time_unit,median_time_to_event_days,ascertainment_method,screening_frequency_per_week,definition_text,data_source,data_quality_flag,extraction_notes
2192,328,301,1117,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,64,4,6,6,NR,NR,Gray_CIF,Y_CIF,0.55,0.43,0.7,329,unadjusted,NA,NA,NA,NA,16,routine_screening,NR,Neutrophil engraftment defined as first three consecutive days of ANC >0.5 x 10^9/L. Primary graft failure defined as failure to engraft by day +28.,figure_text,derived,"Neutrophil engraftment at D+28 was 94% in FLU arm (i.e., 6% non-engrafted). HR 0.55 reflects slower kinetics, not failure rate, but reported as 'significantly delayed engraftment'. Event count estimated as 64*(1-0.94)=~4."
2193,329,301,1117,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,205,2,1,1,NR,NR,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,routine_screening,NR,Neutrophil engraftment defined as first three consecutive days of ANC >0.5 x 10^9/L. Primary graft failure defined as failure to engraft by day +28.,figure_text,derived,"Neutrophil engraftment at D+28 was 99% in ETOP arm (i.e., 1% non-engrafted). Event count estimated as 205*(1-0.99)=~2. Reference arm."
2194,328,301,1117,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,1680,N,Y,64,8,12.5,NR,NR,NR,crude_proportion,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,clinical_only,NR,Cause of death attributed to infection: documented infection mortality with no relapse or active GVHD.,narrative_text,derived,Cause-of-death analysis: 22 total deaths in FLU arm (64*0.34=21.76); infection 36% of deaths -> 8 IRM deaths. Computed from text 'Total deaths: 30% in ETOP and 34% in FLU; infection was 32% vs 36% (p=0.69) of deaths'. Denominator is arm size.
2195,329,301,1117,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,1680,N,Y,205,20,9.800000000000001,NR,NR,NR,crude_proportion,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,clinical_only,NR,Cause of death attributed to infection: documented infection mortality with no relapse or active GVHD.,narrative_text,derived,Cause-of-death analysis: 62 total deaths in ETOP arm (205*0.30=61.5); infection 32% of deaths -> 20 IRM deaths. Reference arm.
2196,330,302,1118,aGVHD,grade_II_IV,D+100,100,Y,Y,81,NR,NR,19,10,27,Gray_CIF,Y_CIF,0.43,0.24,0.78,331,adjusted,NR,NR,NR,NR,NR,clinical_only,NR,Glucksberg classification was used for grading acute GVHD,table,direct,"Table 2; HR from Table 3 adjusted for age, DRI, graft source, conditioning intensity. Multivariate p=0.005."
2197,331,302,1118,aGVHD,grade_II_IV,D+100,100,Y,Y,128,NR,NR,45,35,53,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,clinical_only,NR,Glucksberg classification was used for grading acute GVHD,table,direct,Table 2; reference arm in HR analyses (HR=1.0)
2198,330,302,1118,aGVHD,grade_III_IV,D+100,100,Y,Y,81,NR,NR,2,0,6,Gray_CIF,Y_CIF,0.2,0.06,0.76,331,adjusted,NR,NR,NR,NR,NR,clinical_only,NR,Glucksberg classification was used for grading acute GVHD,table,direct,Table 2 (univariate p=0.003); Table 3 HR adjusted p=0.017
2199,331,302,1118,aGVHD,grade_III_IV,D+100,100,Y,Y,128,NR,NR,17,10,23,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,clinical_only,NR,Glucksberg classification was used for grading acute GVHD,table,direct,Table 2
2200,330,302,1118,cGVHD,moderate_severe_NIH,D+730_2yr,730,N,Y,81,NR,NR,2,0,6,Gray_CIF,Y_CIF,0.12,0.03,0.51,331,adjusted,NR,NR,NR,NR,NR,clinical_only,NR,NIH classification used for grading chronic GVHD; moderate or severe NIH,table,direct,Table 2 2-y CI (univariate p<0.001); Table 3 adjusted HR p=0.004. Paper reports 2yr only (no 1yr) for cGVHD.
2201,331,302,1118,cGVHD,moderate_severe_NIH,D+730_2yr,730,N,Y,128,NR,NR,20,13,27,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,clinical_only,NR,NIH classification used for grading chronic GVHD; moderate or severe NIH,table,direct,Table 2 2-y CI
2202,330,302,1118,NRM,NRM_overall,D+730_2yr,730,N,Y,81,NR,NR,17,8,25,Gray_CIF,Y_CIF,0.57,0.28,1.15,331,adjusted,NR,NR,NR,NR,NR,clinical_only,NR,Non-relapse mortality with relapse and non-relapse deaths considered as mutually competing events,table,direct,Table 2 2-y CI; Table 3 HR adjusted p=0.118. Paper reports 2yr only; no D+100 or 1yr NRM.
2203,331,302,1118,NRM,NRM_overall,D+730_2yr,730,N,Y,128,NR,NR,25,17,32,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,clinical_only,NR,Non-relapse mortality with relapse and non-relapse deaths considered as mutually competing events,table,direct,Table 2 2-y CI
2204,330,302,1118,overall_mortality,OS_event,D+730_2yr,730,N,Y,81,NR,NR,27,NR,NR,Kaplan_Meier,N_KM_or_crude,0.6,0.34,1.05,331,adjusted,NR,NR,NR,NR,NR,clinical_only,NR,Overall survival; Kaplan-Meier estimator; event = death from any cause,table,derived,Table 2: 2-y OS = 73% (95% CI 63-84); cumulative_incidence_pct = 100 - OS = 27%. Table 3 HR adjusted p=0.074. Paper reports 2yr only; no 1yr OS.
2205,331,302,1118,overall_mortality,OS_event,D+730_2yr,730,N,Y,128,NR,NR,37,NR,NR,Kaplan_Meier,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,clinical_only,NR,Overall survival; Kaplan-Meier estimator; event = death from any cause,table,derived,Table 2: 2-y OS = 63% (95% CI 55-72); cumulative_incidence_pct = 100 - OS = 37%.
2206,332,304,1119,aGVHD,grade_II_IV,D+100,100,Y,Y,62,NR,NR,11,5,21,Gray_CIF,Y_CIF,0.36,0.15,0.86,333,unadjusted,NA,NA,NA,NA,NR,clinical_only,NR,"Grade 2-4 aGVHD at 100 days; grading system not explicitly stated in Methods (likely Glucksberg or MAGIC, institutional standard)",table,direct,"Table 2; HR also confirmed in multivariate analysis (Table 3, P=0.02)"
2207,333,304,1119,aGVHD,grade_II_IV,D+100,100,Y,Y,71,NR,NR,28,18,39,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,clinical_only,NR,Grade 2-4 aGVHD at 100 days; reference arm in HR comparison,table,direct,Table 2 (reference arm)
2208,332,304,1119,aGVHD,grade_III_IV,D+100,100,Y,Y,62,0,0,0,NR,NR,Gray_CIF,Y_CIF,NA,NA,NA,333,unadjusted,NA,NA,NA,NA,NR,clinical_only,NR,Grade 3-4 aGVHD at 100 days; no events in ATG-PTCY arm,table,direct,Table 2: 0% with no events; HR not calculable. P=0.02 vs Other (Gray test).
2209,333,304,1119,aGVHD,grade_III_IV,D+100,100,Y,Y,71,NR,NR,7,3,15,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,clinical_only,NR,Grade 3-4 aGVHD at 100 days; reference arm,table,direct,Table 2
2210,332,304,1119,cGVHD,moderate_severe_NIH,D+730_2yr,730,N,Y,62,NR,NR,26,16,38,Gray_CIF,Y_CIF,0.52,0.29,0.95,333,unadjusted,NA,NA,NA,NA,NR,clinical_only,NR,Moderate to severe cGVHD measured to 2-years post-HCT; grading per Methods describes 'moderate to severe cGVHD' though specific NIH 2014 criteria not cited; assumed NIH consensus,table,direct,"Table 2; multivariate HR 0.74 (0.32-1.70), P=0.48 - not significant in MVA. No 1yr cGVHD reported separately."
2211,333,304,1119,cGVHD,moderate_severe_NIH,D+730_2yr,730,N,Y,71,NR,NR,46,33,57,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,clinical_only,NR,Moderate to severe cGVHD at 2yr; reference arm,table,direct,Table 2 reference
2212,332,304,1119,NRM,NRM_overall,D+730_2yr,730,N,Y,62,NR,NR,21,12,32,Gray_CIF,Y_CIF,0.37,0.2,0.6899999999999999,333,unadjusted,NA,NA,NA,NA,NR,clinical_only,NR,Non-relapse mortality measured from date of HCT to death from all causes other than relapse; competing risks per Fine-Gray method,table,direct,"Table 2; 1yr NRM not reported separately. MVA HR=0.33 (0.18-0.63), P=6.80e-4"
2213,333,304,1119,NRM,NRM_overall,D+730_2yr,730,N,Y,71,NR,NR,45,33,56,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,clinical_only,NR,NRM at 2yr; reference arm,table,direct,Table 2 reference
2214,332,304,1119,overall_mortality,OS_event,D+730_2yr,730,N,Y,62,NR,NR,43,NR,NR,Kaplan_Meier,N_KM_or_crude,0.57,0.35,0.93,333,unadjusted,NA,NA,NA,NA,NR,clinical_only,NR,"Overall survival: measured from date of HCT until last follow-up or death from any cause; Kaplan-Meier analysis. Reported as 2-year OS = 57% (44-69), event_count derived as 100 - OS%",table,derived,"OS 57% (95% CI 44-69); cumulative_incidence_pct = 100-OS = 43%. MVA HR=0.57 (0.35-0.93), P=0.02. 1yr OS not reported separately."
2215,333,304,1119,overall_mortality,OS_event,D+730_2yr,730,N,Y,71,NR,NR,63,NR,NR,Kaplan_Meier,N_KM_or_crude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,clinical_only,NR,"OS reference arm: 2yr OS 37% (26-49), mortality CI = 63%",table,derived,OS 37% (95% CI 26-49); cumulative_incidence_pct = 100-37 = 63%.
2216,334,305,1024,aGVHD,grade_II_IV,D+100,100,Y,Y,64,NR,NR,41,28,54,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Acute GVHD was graded according to the modified Glucksberg criteria,table,direct,Table 2 + Fig 1. P=0.08 vs ATG. CI from text/Table 2.
2217,335,305,1024,aGVHD,grade_II_IV,D+100,100,Y,Y,121,NR,NR,26,18,35,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Acute GVHD was graded according to the modified Glucksberg criteria,table,direct,Table 2. P=0.08.
2218,334,305,1024,aGVHD,grade_III_IV,D+100,100,Y,Y,64,NR,NR,15.7,7.3,27,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Acute GVHD was graded according to the modified Glucksberg criteria,table,direct,Table 2. P=0.68 vs ATG. Text reports 16% (CI: 7-27); Table 2 has 15.7.
2219,335,305,1024,aGVHD,grade_III_IV,D+100,100,Y,Y,121,NR,NR,11,6,18,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Acute GVHD was graded according to the modified Glucksberg criteria,table,direct,Table 2. P=0.68.
2220,334,305,1024,cGVHD,extensive_Seattle,D+365_1yr,365,Y,Y,64,NR,NR,5,1,15,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Chronic GVHD was graded according to the revised Seattle criteria,table,direct,"Table 2. P=0.06 for extensive cGVHD. Paper reports Seattle criteria for cGVHD, not NIH 2014."
2221,335,305,1024,cGVHD,extensive_Seattle,D+365_1yr,365,Y,Y,121,NR,NR,19,11,27,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Chronic GVHD was graded according to the revised Seattle criteria,table,direct,"Table 2 and text. Seattle criteria, not NIH 2014."
2222,334,305,1024,NRM,NRM_overall,D+365_1yr,365,Y,Y,64,NR,NR,34,20,49,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Death without evidence of relapse or progression defined NRM,table,direct,Table 2. P=0.12.
2223,335,305,1024,NRM,NRM_overall,D+365_1yr,365,Y,Y,121,NR,NR,22,15,30,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Death without evidence of relapse or progression defined NRM,table,direct,Table 2. P=0.12.
2224,334,305,1024,overall_mortality,OS_event,D+365_1yr,365,Y,Y,64,NR,45,45,31,61,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"OS was defined as the time from HCT to death, regardless of the cause",table,derived,"Table 2: 1-year OS = 55% (39-69). 1-yr mortality = 100 - 55 = 45%. CI = 100 - upper, 100 - lower from OS CI. P=0.70 for OS comparison. Total deaths in PTCy arm during all follow-up = 21 (15 TRC + 4 relapse + others); 1-year specific deaths not reported."
2225,335,305,1024,overall_mortality,OS_event,D+365_1yr,365,Y,Y,121,NR,38,38,29,48,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"OS was defined as the time from HCT to death, regardless of the cause",table,derived,Table 2: 1-year OS = 62% (52-71). 1-yr mortality = 100 - 62 = 38%. P=0.70.
2226,334,305,1024,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,64,0,0,0,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Engraftment was defined as achieving an absolute neutrophil count greater than or equal to 0.5 × 10^9/L for three consecutive days,table,derived,Table 2: neutrophil engraftment at D+30 = 100% in PTCy arm; therefore primary graft failure CI = 0%. P=0.09.
2227,335,305,1024,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,121,NR,3,3,1,9,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Engraftment was defined as achieving an absolute neutrophil count greater than or equal to 0.5 × 10^9/L for three consecutive days,table,derived,Table 2: neutrophil engraftment at D+30 = 97% (91-99) in ATG arm; primary graft failure CI = 100 - 97 = 3%. P=0.09.
2228,336,307,1121,aGVHD,grade_II_IV,D+100,100,Y,Y,1039,NR,NR,24.1,21.3,27,Gray_CIF,Y_CIF,0.85,0.6899999999999999,1.04,337,adjusted,NR,NR,NR,NR,NR,NR,NR,Acute GVHD graded according to published criteria (Harris MAGIC consortium ref 9). aGVHD grades II-IV.,table,direct,Table 2 univariate; Table 3 multivariate HR. p=0.11 vs ATG. Competing risk: death and relapse.
2229,337,307,1121,aGVHD,grade_II_IV,D+100,100,Y,Y,7725,NR,NR,26.5,25.5,27.6,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,Acute GVHD graded according to published criteria (Harris MAGIC consortium ref 9). aGVHD grades II-IV.,table,direct,Table 2 univariate CI. Reference arm for HR.
2230,336,307,1121,aGVHD,grade_III_IV,D+100,100,Y,Y,1039,NR,NR,8.699999999999999,7,10.7,Gray_CIF,Y_CIF,0.76,0.55,1.05,337,adjusted,NR,NR,NR,NR,NR,NR,NR,Acute GVHD grades III-IV per MAGIC consortium criteria.,table,direct,Q5 mediator dual mark. p=0.091 vs ATG.
2231,337,307,1121,aGVHD,grade_III_IV,D+100,100,Y,Y,7725,NR,NR,9.699999999999999,9,10.4,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,Acute GVHD grades III-IV per MAGIC consortium criteria.,table,direct,Reference arm for HR.
2232,336,307,1121,cGVHD,extensive_Seattle,D+730_2yr,730,N,Y,1039,NR,NR,11.9,9.6,14.4,Gray_CIF,Y_CIF,0.75,0.62,0.91,337,adjusted,NR,NR,NR,NR,NR,NR,NR,Chronic GVHD graded per Shulman/Seattle criteria (ref 10). Extensive chronic GVHD subtype.,table,direct,2-year CI; paper uses Seattle (Shulman 1980) cGVHD grading. p=0.004 multivariate.
2233,337,307,1121,cGVHD,extensive_Seattle,D+730_2yr,730,N,Y,7725,NR,NR,13.5,12.6,14.4,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,Extensive chronic GVHD per Shulman/Seattle criteria.,table,direct,Reference arm for HR.
2234,336,307,1121,NRM,NRM_overall,D+730_2yr,730,N,Y,1039,NR,NR,12.4,10.2,14.7,Gray_CIF,Y_CIF,0.72,0.55,0.9399999999999999,337,adjusted,NR,NR,NR,NR,NR,NR,NR,Non-relapse mortality: death without relapse/progression. Competing risk with relapse.,table,direct,2-year NRM. p=0.016 multivariate. Abstract reports slightly different univariate values (12.1% vs 16.4%); Tables 2/3 give 12.4 vs 16.1; using Tables as authoritative.
2235,337,307,1121,NRM,NRM_overall,D+730_2yr,730,N,Y,7725,NR,NR,16.1,15.3,17,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,Non-relapse mortality: death without relapse/progression.,table,direct,Reference arm for HR.
2236,336,307,1121,overall_mortality,OS_event,D+730_2yr,730,N,Y,1039,255,NR,26.9,24,30,Kaplan_Meier,N_KM_or_crude,0.82,0.72,0.92,337,adjusted,NR,NR,NR,NR,NR,NR,NR,Overall survival by Kaplan-Meier. OS_event = 100 - OS%.,table,derived,"OS 73.1% (CI 70-76) per Table 2; multivariate HR 0.82, p=0.001 (Table 3). Abstract gives 73.9% univariate but Table 2 says 73.1; using Table 2. event_count = total deaths reported in Table 4 (255). cumulative_incidence_pct = 100 - OS = 26.9%."
2237,337,307,1121,overall_mortality,OS_event,D+730_2yr,730,N,Y,7725,2506,NR,34.1,32.9,35.3,Kaplan_Meier,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,Overall survival by Kaplan-Meier. OS_event = 100 - OS%.,table,derived,OS 65.9% (CI 64.7-67.1) per Table 2. event_count = deaths from Table 4 (2506). cumulative_incidence_pct = 100 - 65.9 = 34.1.
2238,336,307,1121,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,NR,N,Y,1039,51,4.9,NR,NR,NR,crude_proportion,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,clinical_only,NR,Infection cause of death (Table 4 cause of death categories). Crude proportion of total enrolled (51/1039).,table,derived,"Table 4: PTCy arm n=255 deaths total, infection-caused 51 (20.4% of deaths). Crude IRM = 51/1039 = 4.9% at end of follow-up (~2.1 yr median). Timepoint coded end_of_followup since the cause-of-death table aggregates over follow-up window."
2239,337,307,1121,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,NR,N,Y,7725,443,5.7,NR,NR,NR,crude_proportion,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,clinical_only,NR,Infection cause of death (Table 4). Crude proportion of total enrolled.,table,derived,"Table 4: rATG arm n=2506 deaths total, infection-caused 443 (18.1% of deaths). Crude IRM = 443/7725 = 5.7%."
2240,338,308,1122,NRM,NRM_overall,D+730_2yr,730,N,Y,1069,NR,NR,13.1,10.9,15.4,Gray_CIF,Y_CIF,1.22,0.95,1.57,339,adjusted,NR,NR,NR,NR,NR,NR,NR,Non-relapse mortality (NRM) defined as death without relapse/progression,table,direct,Table 2 (univariate CI%) + Table 3 (adjusted HR). Competing risk: relapse.
2241,339,308,1122,NRM,NRM_overall,D+730_2yr,730,N,Y,4140,NR,NR,12.5,11.4,13.6,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,Non-relapse mortality (NRM) defined as death without relapse/progression,table,direct,Reference arm for HR; comparator for PTCy.
2242,338,308,1122,aGVHD,grade_II_IV,D+100,100,Y,Y,1069,NR,NR,21.4,18.9,24,Gray_CIF,Y_CIF,1.1,0.88,1.37,339,adjusted,NR,NR,NR,NR,NR,clinical_only,NR,Acute GVHD graded according to MAGIC consortium criteria (Harris 2016).,table,direct,Mount Sinai/MAGIC grading per Harris 2016 ref.
2243,339,308,1122,aGVHD,grade_II_IV,D+100,100,Y,Y,4140,NR,NR,19.5,18.2,20.7,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,clinical_only,NR,Acute GVHD graded according to MAGIC consortium criteria (Harris 2016).,table,direct,Reference arm for HR.
2244,338,308,1122,aGVHD,grade_III_IV,D+100,100,Y,Y,1069,NR,NR,7.6,6,9.300000000000001,Gray_CIF,Y_CIF,1.02,0.74,1.39,339,adjusted,NR,NR,NR,NR,NR,clinical_only,NR,Acute GVHD grade III-IV per MAGIC criteria (Harris 2016).,table,direct,Q5 dual mediator captured.
2245,339,308,1122,aGVHD,grade_III_IV,D+100,100,Y,Y,4140,NR,NR,7.7,6.9,8.6,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,clinical_only,NR,Acute GVHD grade III-IV per MAGIC criteria (Harris 2016).,table,direct,Reference arm for HR; Q5 dual mediator captured.
2246,338,308,1122,cGVHD,extensive_Seattle,D+730_2yr,730,N,Y,1069,NR,NR,16.1,13.7,18.7,Gray_CIF,Y_CIF,0.97,0.72,1.31,339,adjusted,NR,NR,NR,NR,NR,clinical_only,NR,"Chronic GVHD graded according to Shulman/Seattle criteria (ref 16, Shulman 1980). Extensive cGVHD reported.",table,direct,Paper used Seattle criteria for cGVHD; mapped to extensive_Seattle.
2247,339,308,1122,cGVHD,extensive_Seattle,D+730_2yr,730,N,Y,4140,NR,NR,12.6,11.5,13.8,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,clinical_only,NR,Chronic GVHD graded according to Shulman/Seattle criteria. Extensive cGVHD reported.,table,direct,Reference arm for HR.
2248,338,308,1122,overall_mortality,OS_event,D+730_2yr,730,N,Y,1069,NR,31.5,31.5,28.4,34.8,Kaplan_Meier,N_KM_or_crude,0.99,0.85,1.16,339,adjusted,NR,NR,NR,NR,NR,NR,NR,"Overall survival (OS) calculated using Kaplan-Meier method, from date of transplant.",table,derived,OS at 2yr = 68.5% (CI95% 65.2-71.6); mortality % computed as 100 - OS = 31.5% (CI: 28.4-34.8).
2249,339,308,1122,overall_mortality,OS_event,D+730_2yr,730,N,Y,4140,NR,35.2,35.2,33.6,36.9,Kaplan_Meier,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,NR,"Overall survival (OS) calculated using Kaplan-Meier method, from date of transplant.",table,derived,OS at 2yr = 64.8% (CI95% 63.1-66.4); mortality % = 100 - OS = 35.2% (CI: 33.6-36.9). Reference arm for HR.
2250,340,311,1123,aGVHD,grade_II_IV,D+100,100,Y,Y,304,NR,NR,28.2,21.8,35.2,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,35,NR,NA,"Cumulative incidence of grade 2 to 4 aGVHD at 100 days, %; aGVHD graded by 1994 Consensus Conference criteria (Przepiorka 1995). Cumulative incidence with death as competing risk.",table,direct,Table 2 PTCy column. Median time to aGVHD 35 days (range 13-187) per Table 2.
2251,340,311,1123,aGVHD,grade_III_IV,D+100,100,Y,Y,304,NR,NR,6.3,3.2,10.4,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,NR,NA,"Cumulative incidence of grade 3 to 4 aGVHD at 100 days, %; aGVHD graded by 1994 Consensus Conference criteria (Przepiorka 1995).",table,direct,Table 2 PTCy column.
2252,341,311,1123,aGVHD,grade_II_IV,D+100,100,Y,Y,1203,NR,NR,44.6,41,48.4,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,33,NR,NA,"Cumulative incidence of grade 2 to 4 aGVHD at 100 days, %; aGVHD graded by 1994 Consensus Conference criteria.",table,direct,Table 2 CNI column.
2253,341,311,1123,aGVHD,grade_III_IV,D+100,100,Y,Y,1203,NR,NR,12.6,10.2,15.1,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,NR,NA,"Cumulative incidence of grade 3 to 4 aGVHD at 100 days, %; aGVHD graded by 1994 Consensus Conference criteria.",table,direct,Table 2 CNI column.
2254,342,311,1123,aGVHD,grade_II_IV,D+100,100,Y,Y,375,NR,NR,28.8,22.9,35,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,35,NR,NA,"Cumulative incidence of grade 2 to 4 aGVHD at 100 days, %; aGVHD graded by 1994 Consensus Conference criteria.",table,direct,Table 2 CNI+ATG column.
2255,342,311,1123,aGVHD,grade_III_IV,D+100,100,Y,Y,375,NR,NR,8.9,5.4,13,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,NR,NA,"Cumulative incidence of grade 3 to 4 aGVHD at 100 days, %; aGVHD graded by 1994 Consensus Conference criteria.",table,direct,Table 2 CNI+ATG column.
2256,344,318,1125,aGVHD,grade_II_IV,D+100,100,Y,Y,415,NR,NR,24,20,28,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Cumulative incidence of grade II-IV acute GvHD at 100 days; grading system not explicitly specified,table,direct,Univariate CI%; no separate event count reported
2257,344,318,1125,aGVHD,grade_III_IV,D+100,100,Y,Y,415,NR,NR,10,7,13,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Cumulative incidence of grade III-IV acute GvHD at 100 days,table,direct,
2258,344,318,1125,cGVHD,extensive_Seattle,D+730_2yr,730,N,Y,415,NR,NR,17,14,21,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,Extensive (limited/extensive Seattle grading) chronic GvHD at 24 months from engraftment; total cGVHD (limited + extensive) was 32% (28-37%) for HD,table,direct,"Paper reports limited/extensive Seattle-style cGVHD, NOT NIH moderate/severe. Total cGVHD 2yr = 32% (28-37%); limited 14% (10-18%); extensive 17% (14-21%)."
2259,344,318,1125,overall_mortality,OS_event,D+730_2yr,730,N,Y,415,NR,50,50,45,55,Kaplan_Meier,N_KM_or_crude,1.93,1.24,3,345,adjusted,NR,NR,NR,NR,NR,NR,NR,Overall survival at 24 months; OS 50% (45-55%) for HD vs 58% (55-61%) for MSD (p<0.001). cumulative_incidence_pct field stores 100-OS% = 50% (i.e. mortality CI).,table,direct,OS 50%; mortality = 100-50 = 50%. HR for OS HD vs MSD: <6m 1.93 (1.24-3.0) p=0.004; >6m 0.74 (0.44-1.26) p=0.3 (multivariable). Reported HR is for first 6 months.
2260,344,318,1125,NRM,NRM_overall,D+730_2yr,730,N,Y,415,NR,NR,30,25,35,Gray_CIF,Y_CIF,2.59,1.5,4.48,345,adjusted,NR,NR,NR,NR,NR,NR,NR,Non-relapse mortality at 24 months; HD 30% vs MSD 20% (p<0.001). Multivariable HR HD vs MSD: <6m 2.59 (1.5-4.48) p<0.001; >6m 0.93 (0.42-2.07) p=0.9,table,direct,"Cause of NRM: infection 39% (74), GVHD 20% (38); in first 6m, infection caused 48% of HD deaths (bacterial 25%, fungal 10%)"
2261,344,318,1125,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,415,NR,NR,10,7,12,Gray_CIF,Y_CIF,3.56,1.56,8.17,345,adjusted,NR,NR,NR,NR,NR,NR,NR,PGF defined as failing to reach neutrophil >0.5x10^9/L in first 28 days post-transplant or documentation of autologous reconstitution by chimerism in absence of relapse. CI reported at 2 years.,table,direct,Paper reports CI at 2yr but definition is based on D+28 failure to engraft - represents primary graft failure. Multivariable HR for HD vs MSD: 3.56 (1.56-8.17) p=0.003
